Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;0;2;1;0;0;47;0;1;2;0;2;0;200;62;none;none;none;none;none;none
0.0;0;1;2;0;1;27;0;1;2;0;4;0;100;25;none;none;none;none;none;none
0.0;0;1;2;1;0;23;0;1;2;0;2;0;100;16;none;none;none;none;none;none
0.0;0;1;0;0;1;20;0;1;2;0;4;0;2;0;none;none;none;none;none;none
0.0;2;4;38;2;1;160;0;1;38;0;66;7;100;0;none;none;none;none;none;none
0.0;0;2;0;0;4;11;0;1;1;0;25;0;1;100;none;none;none;none;none;none
0.0;1;3;1;1;1;65;0;1;7;0;25;2;700;59;none;none;none;none;none;none
0.0;1;1;3;0;5;21;2;1;3;0;29;0;33;56;none;none;none;none;none;none
0.0;3;1;5;0;1;55;1;1;5;0;20;0;80;66;none;none;none;none;none;none
0.0;0;1;1;1;3;57;0;1;1;0;77;0;100;90;none;none;none;none;none;none
0.0;1;1;3;0;1;20;0;1;3;0;17;0;100;60;none;none;none;none;none;none
0.0;0;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;2;2;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;4;3;45;2;2;189;1;1;49;0;109;5;107;90;none;none;none;none;none;none
0.0;1;1;6;0;1;27;2;1;6;0;18;0;67;57;none;none;none;none;none;none
0.0;2;1;4;1;0;6;0;1;4;0;4;0;100;0;none;none;none;none;none;none
0.0;12;2;15;1;1;96;2;1;17;0;43;2;100;80;none;none;none;none;none;none
1.0;11;5;14;0;1;165;1;1;19;0;60;4;129;80;none;none;none;none;none;none
1.0;14;6;13;0;1;220;0;1;23;0;65;7;177;93;none;none;none;none;none;none
0.0;0;1;8;0;0;10;0;1;6;0;6;0;75;0;none;none;none;none;none;none
1.0;1;1;2;0;1;10;0;1;2;0;14;1;100;0;none;none;none;none;none;none
0.0;2;1;1;0;1;83;1;1;4;0;19;1;300;91;none;none;none;none;none;none
1.0;3;2;7;0;0;119;0;1;6;0;12;4;86;88;none;none;none;none;none;none
0.0;1;4;43;0;1;352;0;1;56;0;82;5;130;0;none;none;none;none;none;none
0.0;1;2;7;0;1;39;0;1;7;0;19;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;0;18;0;1;0;0;0;0;0;100;none;none;none;none;none;none
0.0;1;3;3;0;4;97;2;3;3;0;44;0;33;56;none;none;none;none;none;none
0.0;2;3;1;1;1;76;0;2;3;0;27;2;300;62;none;none;none;none;none;none
1.0;1;2;4;1;1;30;0;1;5;0;21;1;125;50;none;none;none;none;none;none
0.0;0;_;0;0;4;6;0;1;0;0;24;0;0;100;none;none;none;none;none;none
0.0;0;1;0;0;0;45;0;1;0;0;0;0;0;66;none;none;none;none;none;none
0.0;6;5;0;0;0;206;0;2;7;0;31;4;7;0;none;none;none;none;none;none
0.0;4;3;9;1;0;140;0;1;12;0;23;1;133;77;none;none;none;none;none;none
0.0;2;2;0;0;1;18;0;1;1;0;15;1;1;0;none;none;none;none;none;none
0.0;3;1;0;0;0;23;0;1;1;0;6;1;1;50;none;none;none;none;none;none
0.0;0;1;0;0;2;18;0;2;0;0;11;0;0;0;none;none;none;none;none;none
0.0;3;1;1;0;0;12;0;1;1;0;2;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;2;18;0;2;0;0;11;0;0;0;none;none;none;none;none;none
0.0;3;1;1;0;0;12;0;1;1;0;2;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;3;6;0;1;0;0;24;0;0;100;none;none;none;none;none;none
0.0;2;1;2;0;1;94;0;1;2;0;15;0;100;76;none;none;none;none;none;none
0.0;9;2;1;1;1;107;0;3;3;0;29;1;300;84;none;none;none;none;none;none
0.0;0;_;0;0;0;22;0;1;0;0;0;0;0;62;none;none;none;none;none;none
0.0;0;_;0;0;1;20;0;1;0;0;29;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;18;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;2;1;3;0;1;27;0;1;3;0;17;0;100;42;none;none;none;none;none;none
0.0;0;1;0;0;1;52;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;3;3;0;0;0;14;0;1;1;0;7;2;1;0;none;none;none;none;none;none
0.0;8;5;10;0;1;100;1;1;15;0;44;2;140;81;none;none;none;none;none;none
0.0;3;1;1;0;1;3;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;2;1;3;0;1;39;0;2;3;0;16;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;3;8;0;1;0;0;24;0;0;100;none;none;none;none;none;none
0.0;6;5;0;0;0;201;0;2;6;0;20;4;6;0;none;none;none;none;none;none
0.0;1;2;1;0;0;113;0;1;4;0;5;1;400;75;none;none;none;none;none;none
0.0;1;3;0;0;0;150;0;2;2;0;5;0;2;66;none;none;none;none;none;none
0.0;0;_;0;0;0;26;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;1;0;1;105;0;1;2;0;13;0;200;66;none;none;none;none;none;none
0.0;0;_;0;0;0;7;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;0;15;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;4;3;4;0;4;38;0;1;5;0;40;3;125;100;none;none;none;none;none;none
