Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;1;1;0;0;1;93;0;3;1;0;15;1;1;79;none;none;none;none;none;none
0.0;0;1;2;1;0;29;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;1;10;0;1;0;0;13;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;60;0;1;0;0;13;0;0;75;none;none;none;none;none;none
0.0;0;2;0;0;1;50;0;2;0;0;11;0;0;0;none;none;none;none;none;none
0.0;3;2;5;0;1;40;0;1;6;0;18;0;120;57;none;none;none;none;none;none
0.0;0;_;0;0;1;10;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;1;3;14;0;1;76;6;1;9;0;24;1;21;89;none;none;Long Methodt;none;none;none
0.0;0;1;1;0;0;26;0;4;1;0;3;0;100;0;none;none;none;none;none;none
0.0;0;1;1;0;1;10;0;1;1;0;13;0;100;0;none;none;none;none;none;none
0.0;0;1;1;0;1;6;0;1;1;0;14;1;100;0;none;none;none;none;none;none
0.0;0;1;1;0;1;6;0;1;1;0;14;1;100;0;none;none;none;none;none;none
0.0;11;1;1;0;1;39;0;1;3;0;18;1;300;61;none;none;none;none;none;none
0.0;0;1;0;0;1;6;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;_;0;0;1;6;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;1;133;0;2;15;0;26;0;15;0;none;none;none;none;none;none
0.0;0;_;0;0;2;3;0;1;0;0;24;0;0;0;none;none;none;none;none;none
4.0;0;1;0;0;1;1768;0;1;122;0;133;0;122;0;none;none;none;none;none;none
0.0;0;1;0;0;1;489;0;2;46;0;59;0;46;0;none;none;none;none;none;none
0.0;0;1;1;0;1;6;0;1;1;0;13;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;1;72;0;1;9;0;20;0;9;0;none;none;none;none;none;none
2.0;2;1;0;0;1;370;0;1;28;0;42;2;28;0;none;none;none;none;none;none
0.0;3;1;0;0;1;169;0;1;18;0;32;2;18;0;none;none;none;none;none;none
0.0;0;1;0;0;1;53;0;2;7;0;20;0;7;0;none;none;none;none;none;none
0.0;0;1;1;0;1;6;0;1;1;0;13;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;1;33;0;1;4;0;15;0;4;0;none;none;none;none;none;none
0.0;0;1;0;0;1;54;0;1;7;0;18;0;7;0;none;none;none;none;none;none
0.0;0;1;0;0;1;47;0;1;5;0;16;0;5;0;none;none;none;none;none;none
0.0;0;1;0;0;1;69;0;1;6;0;17;0;6;0;none;none;none;none;none;none
0.0;0;2;0;0;1;188;0;3;15;0;34;0;15;80;none;none;none;none;none;none
0.0;0;2;1;0;4;15;0;1;2;0;62;1;200;0;none;none;none;none;none;none
0.0;0;_;0;0;4;3;0;1;0;0;24;0;0;0;none;none;none;none;none;none
0.0;1;1;0;0;1;224;0;1;25;0;36;0;25;84;none;none;none;none;none;none
0.0;0;1;0;0;1;72;0;1;9;0;20;0;9;0;none;none;none;none;none;none
0.0;0;2;0;0;1;55;0;1;7;0;27;1;7;0;none;none;none;none;none;none
0.0;0;1;0;0;1;158;0;1;23;0;36;1;23;0;none;none;none;none;none;none
0.0;1;2;0;0;1;25;0;1;2;0;16;0;2;0;none;none;none;none;none;none
0.0;0;_;0;0;2;3;0;1;0;0;24;0;0;0;none;none;none;none;none;none
0.0;1;2;0;0;1;101;0;1;9;0;22;0;9;0;none;none;none;none;none;none
0.0;3;1;0;0;1;8;0;1;2;0;14;1;2;0;none;none;none;none;none;none
0.0;2;1;0;0;1;28;0;1;6;0;18;1;6;57;none;Feature Envy;none;none;none;none
0.0;0;1;0;0;2;56;0;1;8;0;24;0;8;88;none;none;none;none;none;none
0.0;0;1;0;0;1;40;0;1;7;0;19;1;7;85;none;none;none;none;none;none
0.0;1;1;0;0;2;58;0;1;10;0;28;1;10;0;none;none;none;none;none;none
0.0;0;1;0;0;1;47;0;1;9;0;23;1;9;77;none;none;none;none;none;none
0.0;0;2;0;0;2;61;0;1;10;0;27;1;10;0;none;none;none;none;none;none
0.0;0;1;0;0;1;41;0;1;8;0;19;0;8;0;none;none;none;none;none;none
0.0;0;2;0;0;2;66;0;1;11;0;28;1;11;0;none;none;none;none;none;none
0.0;1;1;0;0;1;51;0;1;9;0;20;0;9;0;none;none;none;none;none;none
0.0;0;1;0;0;2;56;0;1;8;0;24;0;8;88;none;none;none;none;none;none
0.0;0;1;0;0;1;40;0;1;7;0;19;1;7;80;none;none;none;none;none;none
0.0;1;1;0;0;2;58;0;1;10;0;28;1;10;0;none;none;none;none;none;none
