Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;1;2;5;0;4;31;0;1;5;0;133;2;100;66;Refused Bequest;none;none;none;none;none
0.0;1;1;1;1;5;12;0;1;1;0;128;0;100;50;none;none;none;none;none;none
0.0;6;1;4;0;1;16;0;1;4;0;23;2;100;0;none;none;none;none;none;none
2.0;22;3;14;1;6;118;1;1;16;0;514;6;107;82;Refused Bequest;none;none;none;none;none
1.0;10;6;10;1;2;107;0;1;10;0;61;7;100;_;none;none;none;none;none;none
0.0;1;2;4;2;1;44;0;1;6;0;24;1;150;79;none;none;none;none;none;none
0.0;4;3;19;24;1;82;3;1;21;0;38;0;95;75;none;Feature Envy;none;none;none;none
0.0;0;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
1.0;4;1;1;0;3;13;0;1;1;0;32;1;100;0;none;none;none;none;none;none
4.0;37;6;8;0;1;331;0;1;17;0;111;14;213;84;Refused Bequest;none;none;none;none;none
2.0;9;3;4;1;5;57;0;1;5;0;634;3;125;75;Refused Bequest;none;none;none;none;none
1.0;12;9;9;1;2;110;0;1;11;0;74;8;122;75;Refused Bequest;none;none;none;none;none
0.0;0;1;2;0;1;14;0;1;2;0;22;0;100;50;none;none;none;none;none;none
0.0;2;1;4;1;2;15;1;1;4;0;27;0;75;50;none;none;none;none;none;none
1.0;5;1;1;0;3;19;0;1;1;0;38;4;100;100;none;none;none;none;none;none
1.0;6;1;1;0;3;15;0;1;1;0;35;3;100;0;none;none;none;none;none;none
1.0;6;1;1;0;3;15;0;1;1;0;34;2;100;0;none;none;none;none;none;none
1.0;4;1;1;0;3;12;0;1;1;0;32;1;100;0;none;none;none;none;none;none
1.0;4;1;1;0;3;12;0;1;1;0;32;1;100;0;none;none;none;none;none;none
0.0;2;1;1;0;4;12;0;1;1;0;36;0;100;0;none;none;none;none;none;none
0.0;4;2;1;0;4;14;0;1;1;0;36;3;100;0;none;none;none;none;none;none
2.0;25;3;1;0;1;102;0;1;2;0;43;10;200;48;Refused Bequest;none;none;none;none;none
3.0;21;3;1;0;1;131;0;1;3;0;51;11;300;50;Refused Bequest;none;none;none;none;none
3.0;29;4;2;1;1;139;0;1;5;0;47;11;250;76;Refused Bequest;none;none;none;none;Shotgun Surgery
0.0;10;6;8;0;2;88;0;1;10;0;44;6;125;0;none;none;none;none;none;none
0.0;10;6;8;0;2;79;0;1;8;0;42;6;100;0;none;none;none;none;none;none
0.0;11;6;8;0;3;73;0;1;8;0;48;5;100;88;none;none;none;none;none;none
