Resource,A,AC,AHF,AID,AIF,AIUR,ALD,AOFD,AUF,CA,CBO,CC,CE,CF,CIW,CL,CM,COC,CR,ChC,DAC,DD,DOIH,EC,FO,HDiff,HEff,HPLen,HPVoc,HPVol,I,IUR,JUC,LCOM1,LCOM2,LCOM3,LOC,MDC,MHF,MIC,MIF,MNOB,MNOL,MNOP,MPC,MSOO,NAM,NCC,NIC,NOA,NOAM,NOC,NOCC,NOCON,NOCP,NOED,NOIS,NOLV,NOM,NOO,NOOM,NOP,NOPA,NORM,NOprnd,NOprtr,NUOprnd,NUOprtr,PC,PF,PIS,PPkgM,PPrivM,PProtM,PPubM,PS,PUR,RFC,RMD,TCC,TCR,TRAp,TRAu,TRDp,TRDu,VOD,WCM,WMPC1,WMPC2,WOC
XE210.org.apache.html.dom.HTMLAnchorElementImpl.getShape,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,2,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.getTabIndex,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,2,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.getTarget,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,1,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.getType,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,1,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setAccessKey,,,,0,,,0,,,,,2,,,,,,,14,,,,,1,,,,,,,,,0,,,,6,1,,,,1,,1,3,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,17,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setCharset,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setCoords,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setHref,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setHreflang,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setName,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setRel,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setRev,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setShape,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setTabIndex,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,2,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setTarget,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.setType,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,1,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAppletElementImpl,,1,,,,20,,0,0,,1,1,2,,22,67,0,0,16,1,0,3,6,23,1,2,760,71,27,338,,100,0,253,100,,98,23,,0,,,0,2,,1,0,,,0,0,1,0,1,,2,1,,22,22,22,,0,0,36,35,24,3,,,,0,4,0,96,,,276,,0,19,3,100,0,0,0,0,23,33,100
XE210.org.apache.html.dom.HTMLAppletElementImpl.HTMLAppletElementImpl,,,,0,,,0,,,,,1,,,,,,,56,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,2,1,,,,0,,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,125,,,,,,,,,
XE210.org.apache.html.dom.HTMLAppletElementImpl.getAlign,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,1,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAppletElementImpl.getAlt,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,1,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAppletElementImpl.getArchive,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,1,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAppletElementImpl.getCode,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,1,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
XE210.org.apache.html.dom.HTMLAppletElementImpl.getCodeBase,,,,0,,,0,,,,,1,,,,,,,0,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,1,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
