Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
1.0;0;1;25;1;2;67;0;1;1;0;40;0;4;50;none;none;none;none;none;none
8.0;97;5;58;7;1;1082;0;1;58;0;174;18;100;33;none;none;none;none;none;none
1.0;3;2;1;0;6;20;0;1;1;0;463;0;100;33;Refused Bequest;none;none;none;none;none
0.0;1;2;2;0;1;23;0;2;0;0;15;0;0;100;none;none;none;none;none;none
0.0;0;2;1;0;2;17;0;1;1;0;17;0;100;0;none;none;none;none;none;none
0.0;3;1;3;0;2;22;0;1;3;0;16;0;100;62;Refused Bequest;none;none;none;none;none
0.0;1;1;2;1;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
12.0;82;17;116;6;5;1626;0;1;115;0;766;35;99;96;none;none;none;Large Class;none;Shotgun Surgery
0.0;9;6;8;30;1;77;0;1;10;0;30;1;125;62;none;Feature Envy;none;none;none;none
0.0;1;1;1;2;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
2.0;12;6;3;0;1;95;0;1;4;0;29;3;133;69;none;none;none;none;none;none
2.0;26;3;27;1;1;217;0;1;27;0;67;9;100;0;none;none;none;none;none;none
2.0;13;7;21;1;1;156;0;1;21;0;45;2;100;80;none;none;none;none;none;none
0.0;4;1;16;0;1;64;0;1;16;0;27;0;100;86;none;none;none;none;none;none
0.0;0;1;2;0;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;5;3;10;53;1;121;0;1;10;0;29;4;100;0;none;Feature Envy;none;none;none;none
8.0;59;16;65;26;1;681;0;1;64;0;172;17;98;93;none;none;none;none;none;Shotgun Surgery
0.0;6;3;1;0;0;133;0;1;1;0;8;5;100;0;none;none;none;none;none;none
2.0;15;22;42;22;1;419;0;1;45;0;69;1;107;91;none;none;none;none;none;none
0.0;5;4;7;15;1;42;0;1;7;0;25;0;100;50;none;Feature Envy;none;none;none;none
0.0;1;1;1;2;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;4;4;0;1;38;0;1;3;0;15;0;75;68;none;none;none;none;none;none
0.0;12;5;3;0;1;54;0;1;4;0;33;8;133;30;none;none;none;none;none;none
0.0;9;6;6;1;1;75;0;1;8;0;37;3;133;50;none;none;none;none;none;none
1.0;9;5;2;0;6;108;0;1;5;0;586;5;250;71;none;none;none;none;none;none
6.0;62;34;67;1;1;889;0;1;90;0;240;23;134;91;none;none;none;Large Class;none;none
0.0;9;6;6;1;1;75;0;1;8;0;37;3;133;50;none;none;none;none;none;none
0.0;9;3;6;11;1;57;0;1;10;0;33;3;167;54;none;none;none;none;none;none
0.0;10;5;7;10;2;69;0;1;8;0;35;2;114;37;none;Feature Envy;none;none;none;none
0.0;1;1;2;3;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;5;1;1;1;0;4;0;1;1;0;3;0;100;0;none;none;none;none;none;none
3.0;20;9;16;0;2;169;0;1;18;0;53;6;113;69;none;none;none;none;none;none
3.0;25;12;25;0;4;211;0;1;22;0;86;9;88;82;none;none;none;none;none;none
2.0;12;7;10;1;3;107;0;1;10;0;51;5;100;59;none;none;none;none;none;none
2.0;8;9;13;2;2;123;0;1;12;0;41;3;92;81;none;none;none;none;none;none
0.0;5;1;1;1;0;5;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;3;1;0;5;0;1;3;0;3;0;100;0;none;none;none;none;none;none
2.0;15;11;4;0;3;130;0;1;6;0;46;1;150;56;none;none;none;none;none;none
1.0;17;10;12;0;3;141;0;1;14;0;58;3;117;70;none;none;none;none;none;none
0.0;9;10;4;0;3;108;0;1;4;0;41;1;100;47;none;none;none;none;none;none
1.0;17;8;7;0;3;115;0;1;9;0;51;2;129;71;none;none;none;none;none;none
